City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
97,Nushki,PK,59.5,29.5542,66.0215,Shams hotel
98,Bredasdorp,ZA,46.65,-34.5322,20.0403,Bredasdorp Country Manor
99,Mantua,IT,67.91,45.1667,10.7833,Hotel la Favorita
100,Mar Del Plata,AR,48.99,-38.0023,-57.5575,Gran Hotel Mar del Plata
102,Torbay,CA,54.57,47.6666,-52.7314,Gallows Cove
104,Krasnorechenskiy,RU,51.96,44.6265,135.3532,
105,Murray Bridge,AU,58.42,-35.1167,139.2667,Balcony On Sixth Lodge
107,Oga,IT,48.74,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
108,Kruisfontein,ZA,46.89,-34.0033,24.7314,Oyster Bay House Rental
109,Port Elizabeth,ZA,49.1,-33.918,25.5701,39 On Nile Guest House
115,Sitka,US,44.49,57.0531,-135.33,Westmark Sitka
116,Vardo,NO,48.47,70.3705,31.1107,Vardø Hotel AS
117,Geraldton,AU,63.01,-28.7667,114.6,Broadwater Mariner Resort
122,Berlevag,NO,50.0,70.8578,29.0864,Kvitbrakka
123,Sistranda,NO,55.9,63.7256,8.834,Hotell Frøya
124,Mataura,NZ,51.48,-46.1927,168.8643,Ellie's Villa
126,Komsomolskiy,UZ,54.32,40.4272,71.7189,Ikathouse
128,Port Hardy,CA,50.18,50.6996,-127.4199,Airport Inn
129,Vadso,NO,49.08,70.0744,29.7487,Scandic Vadsø
132,Comodoro Rivadavia,AR,53.46,-45.8667,-67.5,Austral Hotel
137,Rio Grande,BR,55.94,-32.035,-52.0986,Hotel Atlântico Rio Grande
139,Dese,ET,53.37,11.1333,39.6333,Joamla Hotel
143,Lakes Entrance,AU,69.57,-37.8811,147.981,The Esplanade Resort & Spa
144,Nikolskoye,RU,45.88,59.7035,30.7861,Tourist House - Sablino
159,Stranda,NO,58.59,62.3096,6.9358,Stranda Feriesenter
162,Shulan,CN,45.54,44.4167,126.95,Shulan Hotel
163,Macusani,PE,41.68,-14.0833,-70.4333,"Hospedaje ""Arca de Noe"""
166,Ahipara,NZ,64.94,-35.1667,173.1667,Ahipara Holiday Park
169,Sorkjosen,NO,53.13,69.8,20.9333,Reisafjord Hotel AS
172,Raudeberg,NO,55.2,61.9875,5.1352,Nordre Silda.
173,Castro,BR,62.04,-24.7911,-50.0119,CHACARA BAILLY
176,Vostok,RU,41.76,46.4856,135.8833,
177,Svetlogorsk,BY,42.08,52.6333,29.7333,Hotel Svetlogorsk JBIK
182,Husavik,IS,40.84,66.0449,-17.3389,Bjarnabúð
183,Constitucion,CL,50.86,-35.3333,-72.4167,Hotel Boutique Las Azucenas
184,Palmer,US,65.03,42.1584,-72.3287,Wedgewood Motel
186,Vaux-Sur-Sure,BE,50.68,49.9115,5.5744,La Maison de Léochille
190,Kochubey,RU,58.59,44.3861,46.5825,Europa
191,Bageshwar,IN,63.55,29.85,79.7667,Danu Janral Store
192,Esperance,AU,58.84,-33.8667,121.9,Hospitality Esperance
193,Quime,BO,54.25,-16.9833,-67.2167,Hostal Colibri
197,Ancud,CL,45.93,-41.8697,-73.8203,Hotel Arena Gruesa
199,Vestmanna,FO,47.32,62.1564,-7.1664,Budget Guesthouse Borgustova
206,Yumen,CN,42.76,40.2833,97.2,
207,Kalulushi,ZM,68.11,-12.8378,28.0919,Nobutula Lodge
208,Mercedes,AR,52.52,-34.6515,-59.4307,Posada del Inti Centro
209,Vorukh,TJ,47.86,39.8494,70.5838,
213,Prince Rupert,CA,45.27,54.3161,-130.3201,Crest Hotel
219,Talcahuano,CL,49.68,-36.7167,-73.1167,departamento comodo
221,Kastaneai,GR,52.93,41.65,26.4667,Hotel Arslanlı
222,Moche,PE,60.98,-8.1711,-79.0092,Wyndham Costa del Sol Trujillo
224,Ketchikan,US,40.98,55.3422,-131.6461,Snow's Cove Lodge
234,Coihaique,CL,42.75,-45.5752,-72.0662,Diego De Almagro Coyhaique
235,Tuatapere,NZ,51.82,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
236,Sicamous,CA,67.28,50.8331,-118.9856,Best Western Sicamous Inn
238,Saint-Joseph,RE,68.38,-21.3667,55.6167,"""Plantation Bed and Breakfast"
239,Lubango,AO,60.21,-14.9172,13.4925,Hotel Serra da Chela
240,Ilebo,CD,67.73,-4.3167,20.5833,Hôtel BUMAK
241,Thompson,CA,53.73,55.7435,-97.8558,Burntwood Hotel
242,Moron,AR,56.98,-34.6534,-58.6198,Hotel Morón
246,Bud,US,67.91,39.447,-86.1758,Ted McQuinn Trust
250,Tosya,TR,45.28,41.0155,34.0401,Hakan Hotel
253,Mount Gambier,AU,55.31,-37.8333,140.7667,The Commodore
260,Mitzic,GA,67.75,0.7821,11.549,Motel Emys
261,Ozd,HU,50.45,48.2167,20.3,Hotel Ózd Restaurant
265,Saint-Augustin,CA,41.99,51.226,-58.6502,
267,Newport,GB,53.78,51.5877,-2.9984,ibis budget Newport
271,Hamilton,US,69.37,39.1834,-84.5333,Six Acres Bed & Breakfast
272,Vitre,FR,49.08,48.1178,-1.2058,ibis Vitré Centre
274,Rocha,UY,45.91,-34.4833,-54.3333,Beleza Pura B&B
277,Kaitangata,NZ,50.94,-46.2817,169.8464,Kaitangata Motor Camp
278,Dryden,CA,55.49,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
281,Kurilsk,RU,60.75,45.2333,147.8833,Hotel Ostrov
285,Yerofey Pavlovich,RU,40.19,53.9667,121.9667,lounges and warm parking
286,Mahajanga,MG,68.02,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
287,Kautokeino,NO,44.69,69.0125,23.0412,Thon Hotel Kautokeino
289,Bushenyi,UG,58.96,-0.5853,30.2114,College View Guest House
290,Kindu,CD,66.63,-2.95,25.95,Résidence Okanda
292,Agropoli,IT,69.28,40.3469,14.9966,B&B Baia di Trentova
293,Cidreira,BR,62.55,-30.1811,-50.2056,Hotel Castelo
298,Iquique,CL,60.84,-20.2208,-70.1431,Backpacker`s Hostel Iquique
304,Villa Carlos Paz,AR,58.39,-31.4241,-64.4978,Monte Carlo
307,Mutare,ZW,63.52,-18.9707,32.6709,Ann Bruce Backpackers
308,Klaksvik,FO,49.12,62.2266,-6.589,Airbnb rooms
309,Novikovo,RU,46.54,51.1537,37.8879,
311,Talara,PE,64.13,-4.5772,-81.2719,Hostal Oro Negro
315,Wairoa,NZ,64.54,-39.0333,177.3667,Riverside Motor Camp
316,Beyneu,KZ,49.48,45.3167,55.2,NUR
318,Saldanha,ZA,54.52,-33.0117,17.9442,Blue Bay Lodge
321,Necochea,AR,43.79,-38.5473,-58.7368,dyd -mar Hotel
322,Joshimath,IN,61.7,30.5667,79.5667,Shivalik Camps & Resort
